customer_id,rating,comment
C093,4,Good value for the money
C060,4,Fast delivery and nice packaging
C259,3,It is okay I guess
C090,1,"Wretched, the shipping was revolting"
C226,4,"Great product, works as expected"
C148,4,"Exactly as described, thanks"
C032,2,"Weak, the broken was shocking"
C012,4,"Nice design, easy to use"
C073,4,"Nice design, easy to use"
C212,5,Love it! Five stars from me
C231,4,"Exactly as described, thanks"
C119,4,"Exactly as described, thanks"
C077,5,My whole family uses it daily
C058,4,Fast delivery and nice packaging
C203,2,"Infuriating, the shipping was grating"
C057,4,Does the job just fine
C233,2,"Sour, the quality was disgraceful"
C052,1,"Shoddy, the refund was wearying"
C004,4,"Nice design, easy to use"
C039,2,"Sloppy, the refund was exhausting"
C153,5,"Exactly as described, thanks"
C181,1,"Grim, the support was embarrassing"
C168,4,"Great product, works as expected"
C023,5,"Solid build, would buy again"
C141,5,Fast delivery and nice packaging
C246,4,Does the job just fine
C109,3,"Fine for the price, mostly"
C026,3,"Fine for the price, mostly"
C024,3,"Fine for the price, mostly"
C124,5,"Arrived early, very happy with it"
C147,4,"Great product, works as expected"
C098,4,"Exactly as described, thanks"
C115,2,"Amateurish, the support was disheartening"
C066,4,"Exactly as described, thanks"
C145,5,Good value for the money
C187,4,"Solid build, would buy again"
C086,3,It is okay I guess
C145,2,"Infuriating, the refund was intolerable"
C224,4,"Great product, works as expected"
C231,1,"Miserable, the quality was unacceptable"
C096,5,"Exactly as described, thanks"
C137,4,"Arrived early, very happy with it"
C047,4,"Arrived early, very happy with it"
C166,4,My whole family uses it daily
C220,4,Love it! Five stars from me
C019,3,It is okay I guess
C112,5,"Arrived early, very happy with it"
C248,2,"Insulting, the shipping was regrettable"
C023,5,Does the job just fine
C121,4,Love it! Five stars from me
C044,4,"Arrived early, very happy with it"
C127,4,"Solid build, would buy again"
C032,4,Good value for the money
C239,2,"Dreadful, the shipping was unacceptable"
C082,3,"Average, nothing special"
C205,5,"Nice design, easy to use"
C051,3,It is okay I guess
C134,4,Fast delivery and nice packaging
C014,2,"Maddening, the refund was disheartening"
C221,5,"Great product, works as expected"
C213,1,"Atrocious, the shipping was exhausting"
C011,4,Good value for the money
C196,5,Love it! Five stars from me
C134,5,Fast delivery and nice packaging
C129,2,"Amateurish, the support was depressing"
C209,5,My whole family uses it daily
C065,4,Love it! Five stars from me
C052,4,"Great product, works as expected"
C058,1,"Pathetic, the refund was sickening"
C248,4,Does the job just fine
C131,5,Does the job just fine
C040,5,"Great product, works as expected"
C251,3,"Fine for the price, mostly"
C012,5,"Nice design, easy to use"
C214,4,"Arrived early, very happy with it"
C122,4,"Exactly as described, thanks"
C043,3,"Fine for the price, mostly"
C139,,"Average, nothing special"
C079,3,"Average, nothing special"
C254,4,"Great product, works as expected"
C088,3,"Fine for the price, mostly"
C077,5,"Solid build, would buy again"
C140,5,My whole family uses it daily
C246,3,It is okay I guess
C037,3,"Fine for the price, mostly"
C095,5,"Arrived early, very happy with it"
C042,3,"Average, nothing special"
C017,5,Fast delivery and nice packaging
C108,4,"Nice design, easy to use"
C107,2,"Crummy, the support was offensive"
C250,5,Does the job just fine
C022,2,"Lousy, the quality was shocking"
C164,1,"Pathetic, the refund was lamentable"
C214,3,"Average, nothing special"
C026,3,"Fine for the price, mostly"
C193,5,My whole family uses it daily
C187,5,Good value for the money
C185,5,Fast delivery and nice packaging
C254,5,"Arrived early, very happy with it"
C179,5,Does the job just fine
C052,4,Does the job just fine
C234,5,My whole family uses it daily
C059,1,"Infuriating, the broken was unbelievable"
C188,5,"Solid build, would buy again"
C200,1,"Shoddy, the shipping was embarrassing"
C238,4,Does the job just fine
