customer_id,rating,comment
C150,4,Good value for the money
C087,4,"Nice design, easy to use"
C080,5,My whole family uses it daily
C094,1,"Abysmal, the broken was aggravating"
C240,1,"Outrageous, the broken was vexing"
C095,1,"Insulting, the shipping was egregious"
C184,3,"Average, nothing special"
C162,2,"Lousy, the refund was regrettable"
C064,5,"Nice design, easy to use"
C240,2,"Careless, the shipping was egregious"
C213,2,"Atrocious, the shipping was indefensible"
C057,5,Fast delivery and nice packaging
C114,4,Fast delivery and nice packaging
C179,5,"Great product, works as expected"
C139,4,Fast delivery and nice packaging
C042,5,Love it! Five stars from me
C177,5,Love it! Five stars from me
C165,5,"Nice design, easy to use"
C054,5,"Nice design, easy to use"
C191,5,"Nice design, easy to use"
C079,5,Fast delivery and nice packaging
C192,2,"Laughable, the refund was outrageous"
C176,2,"Unforgivable, the quality was grating"
C063,4,My whole family uses it daily
C130,5,Does the job just fine
C137,3,It is okay I guess
C112,1,"Vile, the refund was tiresome"
C057,5,Love it! Five stars from me
C169,4,Does the job just fine
C228,5,"Exactly as described, thanks"
C125,4,My whole family uses it daily
C135,4,"Exactly as described, thanks"
C068,3,"Average, nothing special"
C070,4,"Nice design, easy to use"
C049,4,"Exactly as described, thanks"
C244,3,"Average, nothing special"
C232,4,Love it! Five stars from me
C114,3,"Fine for the price, mostly"
C098,5,"Exactly as described, thanks"
C122,5,My whole family uses it daily
C247,2,"Trashy, the shipping was aggravating"
C114,2,"Grim, the broken was jarring"
C103,5,My whole family uses it daily
C038,3,"Fine for the price, mostly"
C037,5,Does the job just fine
C231,5,Love it! Five stars from me
C107,4,"Arrived early, very happy with it"
C128,4,"Arrived early, very happy with it"
C019,5,Good value for the money
C053,1,"Shabby, the broken was exhausting"
C171,2,"Outrageous, the shipping was insulting"
C211,4,"Solid build, would buy again"
C103,4,Love it! Five stars from me
C228,5,Fast delivery and nice packaging
C167,5,My whole family uses it daily
C210,2,"Woeful, the quality was deplorable"
C037,2,"Insulting, the quality was insulting"
C016,3,"Fine for the price, mostly"
C105,3,"Average, nothing special"
C081,3,"Average, nothing special"
C138,5,Good value for the money
C170,5,"Arrived early, very happy with it"
C007,5,"Nice design, easy to use"
C151,4,"Great product, works as expected"
C243,3,It is okay I guess
C086,5,Fast delivery and nice packaging
C233,3,"Fine for the price, mostly"
C014,4,Love it! Five stars from me
C176,4,"Solid build, would buy again"
C028,1,"Unforgivable, the shipping was embarrassing"
C164,2,"Infuriating, the shipping was outrageous"
C083,5,Love it! Five stars from me
C044,1,"Bleak, the support was crushing"
C235,1,"Crummy, the quality was ridiculous"
C230,1,"Wretched, the broken was inexcusable"
C205,3,"Fine for the price, mostly"
C172,5,Fast delivery and nice packaging
C087,5,"Solid build, would buy again"
C125,4,Does the job just fine
C187,3,"Average, nothing special"
C173,5,"Arrived early, very happy with it"
C073,2,"Unforgivable, the refund was disheartening"
C160,5,Good value for the money
C246,3,"Fine for the price, mostly"
C087,5,"Exactly as described, thanks"
C098,4,"Nice design, easy to use"
C051,4,"Exactly as described, thanks"
C160,2,"Horrendous, the shipping was irritating"
C032,4,"Solid build, would buy again"
C209,3,"Fine for the price, mostly"
C193,4,Love it! Five stars from me
C140,3,"Fine for the price, mostly"
C148,1,"Miserable, the refund was embarrassing"
C245,5,Love it! Five stars from me
C073,5,"Solid build, would buy again"
C095,5,Fast delivery and nice packaging
C240,1,"Flimsy, the support was disheartening"
C147,2,"Careless, the refund was unbelievable"
C113,2,"Hopeless, the quality was lamentable"
C037,1,"Shoddy, the shipping was sickening"
C234,3,It is okay I guess
C137,5,Good value for the money
C112,5,Fast delivery and nice packaging
C260,4,Love it! Five stars from me
C157,2,"Atrocious, the broken was lamentable"
C207,4,Love it! Five stars from me
C126,5,"Nice design, easy to use"
C062,3,It is okay I guess
C107,1,"Outrageous, the broken was scandalous"
C219,3,"Average, nothing special"
