customer_id,rating,comment
C121,5,"Great product, works as expected"
C252,5,"Solid build, would buy again"
C113,3,It is okay I guess
C089,4,"Solid build, would buy again"
C104,5,Fast delivery and nice packaging
C126,4,My whole family uses it daily
C011,2,"Bad, the broken was lamentable"
C183,5,Does the job just fine
C122,2,"Crummy, the broken was intolerable"
C164,2,"Bleak, the broken was vexing"
C041,2,"Outrageous, the refund was shocking"
C023,4,Good value for the money
C121,4,"Exactly as described, thanks"
C068,4,Good value for the money
C234,5,Fast delivery and nice packaging
C238,4,"Arrived early, very happy with it"
C132,5,"Solid build, would buy again"
C173,4,"Arrived early, very happy with it"
C149,5,My whole family uses it daily
C017,4,My whole family uses it daily
C184,5,Fast delivery and nice packaging
C137,2,"Shameful, the shipping was horrifying"
C251,2,"Insulting, the support was outrageous"
C250,4,"Nice design, easy to use"
C168,4,Fast delivery and nice packaging
C184,5,Love it! Five stars from me
C074,1,"Appalling, the broken was lamentable"
C235,4,Good value for the money
C173,4,"Solid build, would buy again"
C253,5,"Nice design, easy to use"
C242,5,Love it! Five stars from me
C113,2,"Insulting, the shipping was ridiculous"
C118,1,"Shameful, the support was objectionable"
C223,4,"Nice design, easy to use"
C259,4,"Nice design, easy to use"
C258,4,"Solid build, would buy again"
C256,5,Good value for the money
C027,5,Good value for the money
C054,2,"Trashy, the shipping was exhausting"
C191,5,Fast delivery and nice packaging
C174,4,Good value for the money
C030,4,"Nice design, easy to use"
C253,1,"Bogus, the shipping was inexplicable"
C093,2,"Laughable, the shipping was shocking"
C164,5,"Arrived early, very happy with it"
C020,5,"Exactly as described, thanks"
C181,5,Fast delivery and nice packaging
C098,2,"Miserable, the shipping was horrifying"
C014,3,"Average, nothing special"
C232,2,"Outrageous, the broken was unacceptable"
C025,4,"Solid build, would buy again"
C079,5,Does the job just fine
C190,5,"Exactly as described, thanks"
C140,5,Does the job just fine
C016,5,Love it! Five stars from me
C109,2,"Clumsy, the broken was deflating"
C127,3,It is okay I guess
C097,5,Love it! Five stars from me
C038,2,"Sad, the broken was unjustifiable"
C241,5,Love it! Five stars from me
C239,5,Love it! Five stars from me
C155,4,Fast delivery and nice packaging
C151,4,"Arrived early, very happy with it"
C259,4,"Solid build, would buy again"
C257,2,"Abysmal, the support was indefensible"
C023,4,"Exactly as described, thanks"
C128,4,"Great product, works as expected"
C258,2,"Shameful, the shipping was tiresome"
C049,5,"Solid build, would buy again"
C001,4,"Great product, works as expected"
C199,5,"Nice design, easy to use"
C062,2,"Bad, the refund was indefensible"
C232,4,"Arrived early, very happy with it"
C094,4,Love it! Five stars from me
C056,3,It is okay I guess
C254,2,"Laughable, the shipping was ridiculous"
C061,4,Fast delivery and nice packaging
C226,5,"Nice design, easy to use"
C260,2,"Lousy, the refund was ridiculous"
C015,2,"Dismal, the shipping was irritating"
C218,4,"Nice design, easy to use"
C088,5,My whole family uses it daily
C149,4,"Arrived early, very happy with it"
C002,4,"Nice design, easy to use"
C181,5,Good value for the money
C181,3,"Fine for the price, mostly"
C073,4,Does the job just fine
C131,5,Fast delivery and nice packaging
C040,3,It is okay I guess
C170,4,Love it! Five stars from me
C157,5,"Arrived early, very happy with it"
C244,5,"Arrived early, very happy with it"
C196,3,"Fine for the price, mostly"
C150,4,"Great product, works as expected"
C137,3,"Average, nothing special"
C070,5,Fast delivery and nice packaging
C243,2,"Trashy, the broken was scandalous"
C225,3,"Fine for the price, mostly"
C070,3,"Fine for the price, mostly"
C034,4,"Exactly as described, thanks"
C109,1,"Woeful, the shipping was exhausting"
C030,2,"Appalling, the shipping was frustrating"
C072,2,"Trashy, the quality was disheartening"
