customer_id,rating,comment
C232,4,Love it! Five stars from me
C082,3,"Average, nothing special"
C182,2,"Grim, the broken was sickening"
C204,3,"Average, nothing special"
C217,4,"Exactly as described, thanks"
C246,5,"Solid build, would buy again"
C056,5,My whole family uses it daily
C191,4,"Nice design, easy to use"
C151,5,"Exactly as described, thanks"
C007,2,"Infuriating, the broken was lamentable"
C009,5,"Solid build, would buy again"
C178,2,"Rotten, the shipping was scandalous"
C091,2,"Amateurish, the broken was deflating"
C256,2,"Trashy, the refund was vexing"
C115,4,"Arrived early, very happy with it"
C142,5,Good value for the money
C245,4,"Exactly as described, thanks"
C118,1,"Unforgivable, the support was irritating"
C039,3,"Fine for the price, mostly"
C238,5,"Arrived early, very happy with it"
C138,2,"Sour, the shipping was regrettable"
C037,4,"Arrived early, very happy with it"
C086,5,Fast delivery and nice packaging
C057,5,Does the job just fine
C243,5,"Nice design, easy to use"
C196,5,Fast delivery and nice packaging
C094,5,"Great product, works as expected"
C180,3,It is okay I guess
C224,3,It is okay I guess
C241,5,Fast delivery and nice packaging
C149,5,"Arrived early, very happy with it"
C150,3,"Fine for the price, mostly"
C002,4,"Exactly as described, thanks"
C102,4,Fast delivery and nice packaging
C259,5,"Arrived early, very happy with it"
C151,4,"Solid build, would buy again"
C119,3,"Fine for the price, mostly"
C216,5,"Nice design, easy to use"
C170,1,"Appalling, the shipping was unjustifiable"
C228,5,Love it! Five stars from me
C063,4,Does the job just fine
C213,4,Does the job just fine
C102,5,"Great product, works as expected"
C041,4,"Exactly as described, thanks"
C130,3,It is okay I guess
C018,3,"Average, nothing special"
C223,4,Love it! Five stars from me
C124,3,It is okay I guess
C046,5,My whole family uses it daily
C040,5,My whole family uses it daily
C170,1,"Bad, the shipping was revolting"
C002,4,"Great product, works as expected"
C081,2,"Sloppy, the shipping was grating"
C131,5,My whole family uses it daily
C201,5,Love it! Five stars from me
C008,2,"Outrageous, the broken was unjustifiable"
C137,5,My whole family uses it daily
C235,4,"Arrived early, very happy with it"
C251,3,"Average, nothing special"
C010,2,"Flimsy, the shipping was scandalous"
C050,5,"Exactly as described, thanks"
C244,5,"Great product, works as expected"
C020,3,"Fine for the price, mostly"
C145,3,"Average, nothing special"
C170,5,"Arrived early, very happy with it"
C002,3,It is okay I guess
C068,2,"Trashy, the shipping was dispiriting"
C027,4,"Great product, works as expected"
C079,4,Fast delivery and nice packaging
C152,2,"Sloppy, the support was disheartening"
C112,3,"Fine for the price, mostly"
C152,4,"Nice design, easy to use"
C071,5,Does the job just fine
C140,5,Love it! Five stars from me
C021,5,Good value for the money
C008,1,"Hopeless, the refund was exhausting"
C059,2,"Rotten, the broken was irritating"
C162,4,"Exactly as described, thanks"
C102,5,"Solid build, would buy again"
C033,5,Fast delivery and nice packaging
C029,5,Does the job just fine
C170,2,"Grim, the broken was galling"
C194,3,"Average, nothing special"
C188,3,"Average, nothing special"
C233,4,My whole family uses it daily
C074,3,"Average, nothing special"
C226,4,Does the job just fine
C003,5,My whole family uses it daily
C078,5,Does the job just fine
C154,4,"Great product, works as expected"
C257,3,"Fine for the price, mostly"
C071,5,My whole family uses it daily
C019,5,"Arrived early, very happy with it"
C139,3,"Average, nothing special"
C192,4,Love it! Five stars from me
C224,4,"Nice design, easy to use"
C103,3,"Average, nothing special"
C057,3,"Average, nothing special"
C092,5,Does the job just fine
C067,5,Fast delivery and nice packaging
C114,3,"Average, nothing special"
C025,4,Good value for the money
C159,5,"Arrived early, very happy with it"
C202,1,"Woeful, the refund was exhausting"
C132,4,Good value for the money
